lon,lat,value
213.5,-74.25,1.5395464
214.5,-74.25,1.2816839
215.5,-74.25,1.0678927
216.5,-74.25,0.887577
217.5,-74.25,0.720635
218.5,-74.25,0.56132406
219.5,-74.25,0.4234964
220.5,-74.25,0.3177312
221.5,-74.25,0.23544821
222.5,-74.25,0.17179626
223.5,-74.25,0.12606889
224.5,-74.25,0.084670596
225.5,-74.25,0.0446692
226.5,-74.25,0.007448821
227.5,-74.25,-0.018329246
228.5,-74.25,-0.029831437
229.5,-74.25,-0.035756797
230.5,-74.25,-0.036696013
231.5,-74.25,-0.045790505
250.5,-74.25,-0.96545553
251.5,-74.25,-0.8799043
252.5,-74.25,-0.7796332
253.5,-74.25,-0.6792992
254.5,-74.25,-0.57615215
255.5,-74.25,-0.4771986
256.5,-74.25,-0.4055841
299.5,-74.25,-1.0969061
300.5,-74.25,-1.063637
301.5,-74.25,-0.99659526
302.5,-74.25,-0.9157479
303.5,-74.25,-0.84680194
304.5,-74.25,-0.7932712
305.5,-74.25,-0.75207686
306.5,-74.25,-0.71653116
307.5,-74.25,-0.67218536
308.5,-74.25,-0.61395496
309.5,-74.25,-0.5531141
310.5,-74.25,-0.48466992
311.5,-74.25,-0.41256446
312.5,-74.25,-0.34410742
313.5,-74.25,-0.27476943
314.5,-74.25,-0.20959967
315.5,-74.25,-0.15108362
316.5,-74.25,-0.09548697
317.5,-74.25,-0.049784333
318.5,-74.25,-0.008247648
319.5,-74.25,0.032572735
320.5,-74.25,0.06685143
321.5,-74.25,0.09927425
322.5,-74.25,0.13281758
323.5,-74.25,0.16228026
324.5,-74.25,0.18834719
325.5,-74.25,0.2100225
326.5,-74.25,0.22758925
327.5,-74.25,0.24279724
328.5,-74.25,0.2569422
329.5,-74.25,0.27181533
330.5,-74.25,0.2860054
331.5,-74.25,0.29890415
332.5,-74.25,0.30976078
333.5,-74.25,0.3201893
334.5,-74.25,0.3347832
335.5,-74.25,0.34640977
336.5,-74.25,0.36984628
337.5,-74.25,0.39353567
338.5,-74.25,0.4336821
167.5,-73.75,-1.6534077
168.5,-73.75,-1.4624716
169.5,-73.75,-1.1324987
170.5,-73.75,-0.7497672
171.5,-73.75,-0.40096295
172.5,-73.75,-0.039070975
173.5,-73.75,0.36660823
174.5,-73.75,0.8460298
175.5,-73.75,1.3935161
176.5,-73.75,1.9017277
177.5,-73.75,2.2573328
178.5,-73.75,2.4460723
179.5,-73.75,2.54407
180.5,-73.75,2.6193693
181.5,-73.75,2.7080967
182.5,-73.75,2.841441
183.5,-73.75,3.0233052
184.5,-73.75,3.2076383
185.5,-73.75,3.3591921
186.5,-73.75,3.4737418
187.5,-73.75,3.5560582
188.5,-73.75,3.6110678
189.5,-73.75,3.6477199
190.5,-73.75,3.673723
191.5,-73.75,3.6922164
192.5,-73.75,3.7053063
193.5,-73.75,3.7156615
194.5,-73.75,3.726078
195.5,-73.75,3.7352111
196.5,-73.75,3.7423315
197.5,-73.75,3.7497008
198.5,-73.75,3.7564404
199.5,-73.75,3.7613392
200.5,-73.75,3.7642205
201.5,-73.75,3.7647169
